Number|Title|Clause or Money|Text|AcctionType|Value|
1|Advance to Go (Collect $200)|200|(Mr. M hops on both feet.)|4|1|
2|Advance to Illinois Ave.|If you pass Go, collect $200|(Mr. M has tied a cloth bundle onto his cane to make a bindle, carried over his right shoulder, and is smoking a cigar)|4|25|
3|Advance to St. Charles Place|If you pass Go, collect $200|(Mr. M hurries along, hauling a little boy by the hand)|4|12|
5|Bank pays you dividend of $50|50|(With his feet up on a telephone-bearing desk, Mr. M leans back in an overstuffed chair, blowing cigar smoke rings)|1|50|
6|Go to Jail|Go directly to Jail, Do not pass Go, do not collect $200|(A truncheon-carrying policeman in a dark-colored uniform hauls a surprised Mr M along by the feet)|4|11|
7|Make general repairs on all your property|For each house and hotel pay 60|(Consulting a "How to Fix It" brochure, a hammer-wielding Mr. M sits astride a house not much larger than he is; it buckles under his weight)|2|-60|
8|Pay poor tax of $15|-15|(His trouser pockets pulled out to show them empty, Mr. M spreads his hands)|1|-15|
9|Take a trip to Reading Railroad|If you pass Go, collect $200|(Mr. M rides astride the TOOTing engine of a train)|4|6|
10|Take a walk on the Boardwalk|Advance token to Boardwalk|(Mr. M, a smallish dog hung over one arm, with the other pushes a squalling baby in a small pram; behind them, birds fly in the sky above a low fence)|4|40|
11|You have been elected Chairman of the Board|Pay for each player $50|(A newsboy shouts an Extra with Mr. M's headshot on its front page)|3|50|
12|Your building loan matures – Collect $150|150|(Mr. M joyfully embraces an apparent wife)|1|150|
13|You have won a crossword competition - Collect $100|100|(Not in the deck)|1|100
