Number|Title|Clause or Money|Text|
1|Advance to Go (Collect $200)|200|(Mr. M hops on both feet.)|
2|Advance to Illinois Ave.|If you pass Go, collect $200|(Mr. M has tied a cloth bundle onto his cane to make a bindle, carried over his right shoulder, and is smoking a cigar)|
3|Advance to St. Charles Place|If you pass Go, collect $200|(Mr. M hurries along, hauling a little boy by the hand)|
4|Advance token to nearest Utility.|If unowned, you may buy it from the Bank. If owned, throw dice and pay owner a total ten times the amount thrown.|(Mr. M trudges along with a huge battleship token on his back)|
5|Advance token to the nearest Railroad|Pay owner twice the rental to which he/she is otherwise entitled. If Railroad is unowned, you may buy it from the Bank.|(There are two of these.) (At lower left, Mr. M carries a large flatiron token with two hands; at upper right a railroad crossing is seen)|
6|Bank pays you dividend of $50|50|(With his feet up on a telephone-bearing desk, Mr. M leans back in an overstuffed chair, blowing cigar smoke rings)|
7|Get out of Jail Free|This card may be kept until needed, or traded/sold|(Mr. M, in close-fitting one-piece prison stripes, is literally kicked out)|
8|Go Back 3 Spaces|Back 3|(Mr. M is hauled back by a cane hooked around his neck)|
9|Go to Jail|Go directly to Jail, Do not pass Go, do not collect $200|(A truncheon-carrying policeman in a dark-colored uniform hauls a surprised Mr M along by the feet)|
10|Make general repairs on all your property|For each house pay $25 – For each hotel $100|(Consulting a "How to Fix It" brochure, a hammer-wielding Mr. M sits astride a house not much larger than he is; it buckles under his weight)|
11|Pay poor tax of $15|-15|(His trouser pockets pulled out to show them empty, Mr. M spreads his hands)|
12|Take a trip to Reading Railroad|If you pass Go, collect $200|(Mr. M rides astride the TOOTing engine of a train)|
13|Take a walk on the Boardwalk|Advance token to Boardwalk|(Mr. M, a smallish dog hung over one arm, with the other pushes a squalling baby in a small pram; behind them, birds fly in the sky above a low fence)|
14|You have been elected Chairman of the Board|Pay each player $50|(A newsboy shouts an Extra with Mr. M's headshot on its front page)|
15|Your building loan matures – Collect $150|150|(Mr. M joyfully embraces an apparent wife)|
16|You have won a crossword competition - Collect $100|100|(Not in the deck)| 
